Date,time,chatlog
2017/10/19,13:07,kokoさん来るんじゃないのか
2017/10/19,13:09,野良と組んでFT叩き伏せたらきもちいジャン
2017/10/19,13:09,でってにーの時はそれ出来た時だいたいうれしくて射精してた
2017/10/19,13:10,お前を見ている
2017/10/19,13:10,あざやか～
2017/10/19,13:11,サンハンマーか
2017/10/19,13:13,なんかキーホルダーのキャラがアメちゃんって感じじゃないな
2017/10/19,13:13,じゃぽねみたいなデフォルメ
2017/10/19,13:13,かうぃ～
2017/10/19,13:16,チームメイトを信じているの人か
2017/10/19,13:17,全部上がってなかったか
2017/10/19,13:21,なんかほねほねマンがいなかったか
2017/10/19,13:22,ほおお
2017/10/19,13:22,kokoちゃんがいなくね
2017/10/19,13:23,オイ
2017/10/19,13:23,kokoちゃん。。。
2017/10/19,13:25,もしかしてマヂでサブ垢のままで待ってるのか
2017/10/19,13:25,コイツ
2017/10/19,13:25,そうじゃよ
2017/10/19,13:25,これ適当な言葉
2017/10/19,13:25,これでフルFT組めるね
2017/10/19,13:27,え
2017/10/19,13:27,今の演出こわ
2017/10/19,13:27,ホラーかよ
2017/10/19,13:29,このアーマーってどのくらいまで固くなるの
2017/10/19,13:29,防御ストライクで付与されるシールドくらい？
2017/10/19,13:30,ニンジャ？
2017/10/19,13:30,アーマーレベルがわからぬいな
2017/10/19,13:30,それ装備したらもろくなる奴
2017/10/19,13:31,してぬい
2017/10/19,13:31,今適当なこと言った
2017/10/19,13:32,アーマーって体力が増えるんじゃなくて被ダメを軽減するタイプなのか
2017/10/19,13:33,彼はFPSPROだから
2017/10/19,13:34,パルスブレードとかないの
2017/10/19,13:34,パルスブレードで全員炙りだしてぇよおおおお
2017/10/19,13:35,FPSなんて敵を見つけてコロス以外ないよ
2017/10/19,13:35,ガン待ちなの
2017/10/19,13:36,ていうかテロの脅威から市民を守る特殊部隊がなんで争ってるの？
2017/10/19,13:37,血が出た！
2017/10/19,13:37,これ実弾じゃね
2017/10/19,13:37,蘇生できるならいいか。。。
2017/10/19,13:38,テロ組織に寝返った悪いやつらを倒しに来たとか
2017/10/19,13:38,そういうんじゃないのか
2017/10/19,13:41,タチャンカってかわいい名前だな
2017/10/19,13:41,多分妖精みたいなかわいこちゃん
2017/10/19,13:41,うかつに立ち止まれないな
2017/10/19,13:41,マジこわ2000％
2017/10/19,13:42,しかし試合時間長いな
2017/10/19,13:42,最近のブームなのか
2017/10/19,13:43,なんでメイン垢でインしなおさないのか
2017/10/19,13:47,これでフルFTか
2017/10/19,13:47,6人FTいいね
2017/10/19,13:47,これ何人FT?
2017/10/19,13:47,8人？
2017/10/19,13:48,128対128の空前の大規模戦
2017/10/19,13:48,MAG
2017/10/19,13:48,MAG2はよこい
2017/10/19,13:49,最悪キルしなくても活躍できるPVPやりてぇ
2017/10/19,13:49,誰も殺したくない！
2017/10/19,13:50,ACVDがもう4年前のゲームだと知れ
2017/10/19,13:54,うまるちゃんアヌメ二期やるんじゃないの
2017/10/19,13:54,おわるの
2017/10/19,13:54,ナンデ？
2017/10/19,13:57,誰が誰だかわかんねぇな
2017/10/19,13:57,穴が開いてう。。。
2017/10/19,13:58,なにあれこわい
2017/10/19,14:01,エロ同人でてる？
2017/10/19,14:02,タチャンカって子探してるけどへんなおっさんの画像しか出てこないんじゃが
2017/10/19,14:03,女の子じゃないの
2017/10/19,14:03,もぅマヂむり。。。
2017/10/19,14:34,光が消えそう
